"","UNITCD","STOCKING_ALT_SFTWD","STOCKING_ALT_HRDWD","STOCKING_ALT_ERCEDAR","STOCKING_ALT_OAKPIN","STOCKING_ALT_EXHWDS","STOCKING_ALT_EXSFTWD","STOCKING_ALT_NROBLWA","STOCKING_ALT_RMWASHETC","STOCKING_ALT_MBB","STOCKING_ALT_ASPBRCH","STOCKING_ALT_ELMASHCW","STOCKING_ALT_ALDRMAPL","STOCKING_ALT_LOBSHRTP","STOCKING_ALT_LNGLFSLH","STOCKING_ALT_OKGMCYP","STOCKING_ALT_ASHBCHBLCH","STOCKING_ALT_OAKHCK","STOCKING_ALT_ESPRFIR","STOCKING_ALT_RWJPIN","STOCKING_ALT_TOTAL","STOCKING_MAX","FORTYPGRP"
"1","10154_1",0,672.299761055263,0,0,0,0,18.9326871965542,77.0809189301674,199.231404952826,0,0,0,0,0,0,25.7977996287663,569.081962229158,0,0,672.299761055263,569.081962229158,500
"2","10175_1",493.069294340671,555.243922894727,0,0,55.1452686043562,0,0,171.578063979425,693.228892454823,0,0,0,0,0,0,64.3679909066723,171.578063979425,0,493.069294340671,1048.3132172354,693.228892454823,800
"3","10175_2",116.710155723758,695.562714266696,0,49.6498816493349,0,0,0,252.383086879056,553.035301044212,53.4585368708033,0,0,0,0,0,26.2128075345908,352.173483929705,0,116.710155723758,812.272869990454,553.035301044212,800
"4","10350_1",391.480508279022,394.58170806725,0,0,0,0,0,225.405066984325,643.112292209897,0,0,0,0,0,0,129.232599861254,225.405066984325,0,391.480508279022,786.062216346272,643.112292209897,800
"5","10363_1",70.6520674559398,574.910951556099,0,70.6520674559398,0,0,0,159.235964775176,292.642972173497,0,0,0,53.8753849509124,0,10.9494486133376,14.6570196324326,430.55449554444,0,16.7766825050274,645.563019012039,430.55449554444,500
"6","10363_4",51.6847236354804,621.603750656886,0,27.9957606849143,0,0,22.1160217823887,213.712705941282,502.814343629798,0,0,0,0,0,0,158.035258758677,352.547552170375,0,51.6847236354804,673.288474292366,502.814343629798,800
"7","10373_1",0,725.640665112067,0,0,0,0,46.1590877808696,437.240155638407,622.233466496183,22.4275583118942,0,0,0,0,0,322.498167302045,483.399243419276,0,0,725.640665112067,622.233466496183,800
"8","10381_1",154.722709530301,385.441886751048,0,15.9411223393554,0,0,37.3217592738653,137.205531016217,392.281124183375,0,0,0,0,0,0,73.7574751510219,174.527290290082,0,154.722709530301,540.16459628135,392.281124183375,800
"9","10742_1",164.831570867014,736.83840575644,0,0,0,0,85.793110385767,390.522065117711,878.752647259577,22.9173293638766,0,0,0,0,0,129.789263706187,476.315175503478,0,164.831570867014,901.669976623454,878.752647259577,800
"10","10921_1",11.1625826554748,705.030707203891,0,11.1625826554748,0,0,95.4390571702328,149.172389463562,244.611446633795,0,0,0,0,0,0,0,486.907036054197,0,11.1625826554748,716.193289859366,486.907036054197,500
"11","10921_2",42.9894671268383,901.84749381791,0,42.9894671268383,0,0,232.987099705264,157.489054936442,390.476154641707,0,0,0,0,0,0,0,513.059538263409,0,42.9894671268383,944.836960944748,513.059538263409,500
"12","10937_1",199.498325230018,609.573374071443,0,0,0,0,45.2470801252907,322.855302149222,728.060632458642,0,0,0,0,0,0,228.497912484865,416.465105205822,0,199.498325230018,809.071699301461,728.060632458642,800
"13","11824_2",0,475.29115573734,0,0,0,0,79.2815475449131,21.9914994807816,152.835843779624,0,0,0,0,0,0,11.5758393528723,458.044438335691,0,0,475.29115573734,458.044438335691,500
"14","11975_2",127.285374141235,634.881975051781,0,79.8910012286552,75.7764467601348,0,0,108.571667720926,155.966040633506,0,0,0,0,0,0,0,475.434118920538,0,127.285374141235,762.167349193017,475.434118920538,500
"15","11979_1",90.4778438793264,316.708415937819,0,90.4778438793264,0,0,20.3919061925556,43.9619813237761,64.3538875163318,0,0,0,0,0,0,0,234.982682775953,0,90.4778438793264,407.186259817146,234.982682775953,500
"16","12017_1",13.177054163044,368.513888932102,0,13.177054163044,12.1370041897525,0,24.624881780445,16.8969534652526,16.8969534652526,0,0,0,13.177054163044,0,0,16.8969534652526,336.331643221032,0,0,381.690943095146,336.331643221032,500
"17","12352_1",29.8581062644215,706.975047765279,0,29.8581062644215,0,0,211.601828588215,0,264.609380547197,0,0,0,18.7216013384927,0,0,0,653.967495806296,0,11.1365049259288,736.8331540297,653.967495806296,500
"18","12752_1",76.6483363944592,735.894815485797,0,53.9586884020658,0,0,23.692538251404,132.318636271104,230.256905229898,0,0,0,35.8657121731966,0,0,29.3100917525141,633.15683110007,0,40.7826242212626,812.543151880256,633.15683110007,500
"19","12752_3",70.0657665711473,570.172240456299,0,48.2799281713218,0,0,22.1160217823887,56.0875432254521,125.518595528822,15.7893838422616,0,0,19.1160818037889,0,0,0,366.990670593132,0,50.9496847673584,640.238007027447,366.990670593132,500
"20","13063_1",54.1663364396456,639.015595488031,0,54.1663364396456,0,0,116.173770610156,156.625740281964,301.987359243058,52.5015576671797,0,0,39.3951906589479,0,0,39.5881878510878,508.939177159327,0,14.7711457806978,693.181931927676,508.939177159327,500
"21","14124_1",0,860.853168043933,0,0,0,0,158.232922701891,91.8766602940012,250.109582995892,0,0,0,0,0,0,0,614.434573408566,0,0,860.853168043933,614.434573408566,500
"22","8747_1",7.96361266758473,423.547709220133,0,7.96361266758473,0,0,72.6559502969098,200.345645376928,290.554205604378,0,0,0,0,0,0,77.8676704535719,405.995099289592,0,7.96361266758473,431.511321887717,405.995099289592,500
"23","9003_1",0,620.039002009483,0,0,0,0,93.2864464557435,26.8222344516015,26.8222344516015,46.671401097073,0,0,0,0,0,0,547.429311196794,0,0,620.039002009483,547.429311196794,500
"24","9003_2",31.4128962776393,647.365463424121,0,9.65540002005101,0,0,125.648533879931,0,21.7574962575883,0,0,0,0,0,0,0,592.536281249604,0,31.4128962776393,678.77835970176,592.536281249604,500
"25","9092_1",123.491907594014,459.306447238746,0,10.0299652281796,0,0,41.1153954780654,336.820454334342,491.397792178242,0,0,0,0,0,0,75.2809458043178,459.306447238746,0,123.491907594014,582.79835483276,491.397792178242,800
"26","9146_2",29.0097804950463,617.838945157366,0,29.0097804950463,0,0,131.251671266978,214.175655392852,345.42732665983,0,0,0,17.0963911876393,0,0,37.0972134686266,591.71128294798,0,11.913389307407,646.848725652412,591.71128294798,500
"27","9151_4",640.844700773779,462.073226845177,0,31.6225157902047,0,0,21.2556228943201,142.248162650029,879.275771248328,0,0,0,0,0,0,0,272.989302568074,0,640.844700773779,1102.91792761896,640.844700773779,100
"28","9151_5",269.811106073068,552.680057151808,0,23.1663436418684,0,0,46.5770516906944,102.789881398812,396.011695520707,0,0,0,0,0,0,0,442.978640423621,0,269.811106073068,822.491163224876,442.978640423621,500
"29","9151_6",305.877268264454,570.893736733298,0,52.8395192613344,0,0,113.39662954571,176.662962166174,543.097340715004,0,0,0,0,0,0,0,463.37712655731,0,305.877268264454,876.771004997752,543.097340715004,800
"30","9165_1",270.533342992348,306.241601316196,0,33.7678087896902,0,0,0,205.741888789582,522.736035004857,20.2711005139976,0,0,0,0,0,61.6721298769047,205.741888789582,0,270.533342992348,576.774944308544,522.736035004857,800
"31","9176_2",12.143256277603,955.121056587117,0,12.143256277603,0,0,22.2198474829259,223.814802531781,246.034650014707,38.597756772102,0,0,0,0,0,0,508.673668243903,0,12.143256277603,967.26431286472,508.673668243903,500
"32","9178_1",17.5834932356396,426.662083860881,0,17.5834932356396,0,0,99.6240500413525,17.4654835744711,142.750904477424,0,0,0,17.5834932356396,0,0,0,274.634649180211,0,0,444.245577096521,274.634649180211,500
"33","9204_1",0,792.600786443266,0,0,0,0,44.6528867018047,22.9800854733405,22.9800854733405,0,0,0,0,0,0,22.9800854733405,591.745518027253,0,0,792.600786443266,591.745518027253,500
"34","9363_2",0,812.179482704344,0,0,0,0,74.2175389437546,228.519137171274,652.256501291379,0,0,0,0,0,0,213.50861559972,456.915222851368,0,0,812.179482704344,652.256501291379,800
"35","9602_1",37.0831332396431,569.446313273318,0,37.0831332396431,0,0,122.046341387098,86.8705533404754,208.916894727573,0,0,0,0,0,0,0,569.446313273318,0,37.0831332396431,606.529446512961,569.446313273318,500
"36","9608_1",12.6850355496369,1227.24657445919,0,12.6850355496369,0,0,363.667793279986,145.980883669536,536.02992904167,0,0,0,0,0,0,0,681.552410415251,0,12.6850355496369,1239.93161000882,681.552410415251,500
"37","9621_1",98.5849594563229,683.734240758489,0,98.5849594563229,0,0,22.7105216729024,266.791182327945,559.370812953471,85.098376505862,0,0,0,0,0,124.32878650626,405.979164494402,0,98.5849594563229,782.319200214812,559.370812953471,800
"38","9705_2",142.564910667915,390.953315880874,0,12.3514059688901,0,0,22.7105216729024,58.4239190690767,211.347945441003,0,0,0,0,0,0,9.07739289470899,148.559992001942,0,142.564910667915,533.518226548789,211.347945441003,800
